GENE	HGID_CTL-H9_IFNa_rep1	HGID_CTL-H9_IFNa_rep2	HGID_CTL-H9_NS_rep1	HGID_CTL-H9_NS_rep2	HGID_CTL-MRC5-J1_IFNa_rep1	HGID_CTL-MRC5-J1_IFNa_rep2	HGID_CTL-MRC5-J1_NS_rep1	HGID_CTL-MRC5-J1_NS_rep2	HGID_CTL-MRC5-J3_IFNa_rep1	HGID_CTL-MRC5-J3_IFNa_rep2	HGID_CTL-MRC5-J3_NS_rep1	HGID_CTL-MRC5-J3_NS_rep2	HGID_SNORA31-8H_IFNa_rep1	HGID_SNORA31-8H_IFNa_rep2	HGID_SNORA31-8H_NS_rep1	HGID_SNORA31-8H_NS_rep2	HGID_SNORA31-P2_IFNa_rep1	HGID_SNORA31-P2_IFNa_rep2	HGID_SNORA31-P2_NS_rep1	HGID_SNORA31-P2_NS_rep2	HGID_SNORA31-P5_IFNa_rep1	HGID_SNORA31-P5_IFNa_rep2	HGID_SNORA31-P5_NS_rep1	HGID_SNORA31-P5_NS_rep2	HGID_STAT1_IFNa_rep1	HGID_STAT1_IFNa_rep2	HGID_STAT1_NS_rep1	HGID_STAT1_NS_rep2	HGID_TLR3_IFNa_rep1	HGID_TLR3_IFNa_rep2	HGID_TLR3_NS_rep1	HGID_TLR3_NS_rep2
TGM2	1.003	1.58	-0.057	-1.843	0.763	0.775	-0.539	0.189	0.298	0.579	-0.375	-1.843	1.464	1.647	-0.524	-0.308	0.913	0.896	0.374	-0.005	0.301	0.736	-0.423	0.432	-1.843	0.427	-0.647	0.64	-1.843	-0.401	-1.843	-0.524
THEMIS2	1.067	1.094	-0.795	-0.409	0.898	0.946	-0.875	-1.269	1.301	1.256	-0.617	-0.577	1.132	1.119	-1.511	-1.199	1.676	1.744	-0.631	-0.785	1.343	1.195	-0.634	-0.919	-0.331	-0.635	-0.569	-0.203	-0.393	-0.414	-1.007	-0.996
TIMD4	0.922	0.539	0.272	-1.118	1.057	0.681	-1.118	-1.118	1.902	0.884	-0.351	-1.118	0.431	1.096	0.213	-0.3	2.073	1.569	-1.118	0.528	0.216	-1.118	0.709	0.071	0.162	-1.118	-1.118	-1.118	-1.118	0.738	-1.118	-1.118
TINF2	1.029	0.529	-0.701	-0.936	0.307	0.526	-0.682	-0.669	0.383	0.129	0.002	-0.436	0.591	0.702	-0.915	-1.207	2.056	1.948	-0.161	-0.577	1.086	1.315	0.28	0.123	0.323	0.331	0.586	0.596	-1.204	-0.936	-2.477	-1.939
TJP1	1.222	1.068	0.365	0.201	0.07	0.038	-0.406	-0.467	0.995	0.86	0.416	0.384	0.648	0.616	0.075	0.16	1.119	1.178	-0.154	-0.284	0.767	0.648	0.041	0.148	-0.076	-0.194	-0.091	-0.005	-1.994	-2.17	-2.608	-2.57
TLDC2	0.988	0.895	-2.085	0.105	0.487	1.391	0.116	0.121	0.983	1.368	-1.497	-0.611	1.269	0.522	-2.085	-0.791	1.43	0.619	-0.495	-0.822	0.479	1.01	-0.227	-0.697	-1.482	-0.627	-1.17	-0.92	0.236	1.095	-0.002	0.399
TLE4	0.978	1.363	-0.624	-0.592	0.283	0.425	-1.741	-1.187	0.162	-0.202	-0.613	-0.813	0.62	0.573	0.225	0.13	-0.466	0.357	-1.514	-1.678	-0.55	-0.392	-0.855	-0.945	1.247	1.837	1.505	1.374	-0.845	-0.766	1.732	0.973
TLR3	1.108	1.107	-0.253	-0.388	0.917	0.924	-0.464	-0.305	1.125	1.138	-0.315	-0.277	0.964	0.938	-0.698	-0.711	1.34	1.355	0.05	-0.005	0.914	0.874	-0.729	-0.654	-0.249	-0.296	-0.76	-0.628	-0.263	-0.458	-2.37	-2.929
TMEM109	0.967	1.083	-0.029	0.09	0.608	0.583	-0.959	-1.225	1.374	1.339	0.503	0.704	1.156	1.134	-0.229	-0.484	1.087	1.045	0.019	-0.077	0.599	0.541	-0.746	-0.701	-0.091	0.031	-0.387	-0.244	-1.554	-1.697	-2.38	-2.064
TMEM140	0.703	1.032	-0.581	-0.465	0.698	1.29	-1.329	-0.797	0.254	0.811	-0.142	-0.223	0.512	0.662	-1.436	-1.42	2.414	2.634	-0.599	-1.337	1.129	0.735	-0.103	-0.199	-0.195	-0.16	-0.518	-0.509	-1.117	-0.563	-0.839	-0.344
TMEM171	1.297	1.437	-0.164	-0.115	0.697	0.886	-1.137	-0.658	0.652	0.789	-0.161	-0.119	0.707	0.878	-0.775	-0.655	1.657	1.614	0.301	0.238	0.93	0.967	-0.981	-0.895	-0.458	-0.295	-0.892	-0.955	-0.092	-0.166	-2.741	-1.792
TMEM219	1.009	0.882	-0.141	-0.371	0.067	0.265	-0.799	-0.922	1.096	1.433	-0.047	-0.31	1.192	1.129	-0.734	-0.958	1.77	1.951	-0.335	-0.362	1.009	0.85	-0.134	-0.355	-0.259	0.067	-0.085	-0.132	-1.301	-1.52	-1.996	-1.958
TMEM229B	0.913	1.0	-0.163	-0.123	1.026	1.171	0.466	0.412	0.383	0.603	-0.665	-0.432	0.652	0.548	-0.09	-0.011	0.67	0.516	0.207	0.411	-0.116	0.248	-1.179	-0.927	-2.238	-2.458	-1.994	-2.08	0.433	0.886	0.919	1.01
TMEM50A	0.987	1.264	-0.354	-0.697	0.173	0.018	-1.171	-1.028	1.049	1.255	-0.945	-0.545	0.861	0.557	-1.117	-1.091	2.152	2.17	-0.629	-0.706	1.392	1.672	-0.638	-0.724	-0.819	-0.176	-0.793	-1.046	-0.202	-0.441	-0.638	0.209
TMEM51	0.799	0.763	0.21	-0.042	0.16	0.318	-0.18	-0.046	0.954	1.05	-0.13	-0.046	0.733	0.787	-0.115	-0.166	0.798	0.889	-0.242	-0.348	0.719	0.779	-0.021	0.263	0.181	0.409	0.113	0.311	-1.505	-1.349	-3.99	-2.056
TMEM62	1.243	0.83	-0.615	-0.401	0.614	0.49	-0.765	-0.757	0.876	0.994	-1.24	-1.253	1.117	1.281	-0.942	-0.587	1.504	1.114	-0.653	-0.71	1.934	1.974	-1.373	-0.751	-0.85	-0.543	-0.971	-1.029	0.507	0.108	-0.577	-0.568
TMEM63A	1.108	1.144	0.059	0.142	0.118	0.362	-0.746	-0.732	1.03	1.147	0.312	0.236	0.699	0.84	0.68	0.483	1.069	1.223	-0.076	-0.312	0.818	0.742	0.112	-0.161	-0.159	-0.358	-0.571	-0.702	-1.806	-1.609	-2.542	-2.549
TMEM9B	1.217	1.228	-0.156	-0.563	0.532	0.279	0.094	0.625	1.046	1.21	-1.183	-1.265	1.217	1.021	-1.822	-1.365	1.346	1.363	0.497	0.001	0.326	0.686	0.03	0.265	-0.434	-0.655	-0.042	-0.316	-1.026	-0.081	-2.014	-2.06
TMX1	0.625	0.447	-0.336	-0.589	0.278	0.346	-0.5	-0.384	0.871	0.93	-0.213	-0.234	0.847	0.734	-0.799	-0.985	1.329	1.342	-0.146	-0.258	1.298	1.26	0.601	0.507	0.246	0.471	0.186	0.362	-1.6	-1.626	-2.531	-2.483
TNFRSF14	1.001	1.244	-0.956	-0.184	1.306	1.274	-0.177	-0.059	1.069	0.763	-0.296	-0.097	0.796	0.727	-1.688	-0.648	1.641	1.838	0.363	0.656	0.652	0.376	-0.726	-1.688	-1.014	-0.687	-1.06	-1.688	-0.094	-0.315	-1.221	-1.109
TNFSF10	1.223	1.217	-0.844	-0.767	0.866	0.848	-0.565	-1.226	1.342	1.348	-0.643	-0.959	1.22	1.246	-0.86	-0.618	1.375	1.382	-1.226	-0.773	1.212	1.198	-0.895	-1.226	-0.488	-0.703	-0.727	-0.67	0.361	0.413	-0.836	-1.226
TNFSF13B	1.242	1.252	-0.502	-0.823	1.087	1.1	-1.098	-0.413	1.424	1.461	0.017	-0.072	0.944	1.0	-1.089	-1.271	1.522	1.496	-0.113	-0.035	0.768	0.711	-0.868	-1.119	-1.069	-1.572	-1.215	-1.127	0.023	-0.059	-0.873	-0.729
TNFSF18	1.397	1.229	0.596	0.267	1.22	1.49	0.057	0.239	0.006	0.388	-1.215	-0.229	0.614	0.994	-1.215	-1.215	1.884	2.012	0.202	-0.485	0.446	0.573	-1.215	-0.688	-1.215	-1.215	-1.215	-1.215	-0.227	-1.215	-0.587	-0.463
TRAFD1	1.474	1.203	-0.81	-0.843	0.37	0.298	-0.831	-0.692	0.774	0.362	-0.891	-0.897	1.229	1.167	-0.698	-0.601	2.296	2.344	-0.787	-1.177	1.227	1.103	-0.154	-0.402	-0.197	-0.381	-0.439	-0.481	-0.947	-0.872	-0.651	-1.096
TRANK1	1.508	1.634	0.018	-0.058	0.824	0.649	-0.267	-0.527	1.163	1.144	0.407	0.424	0.951	0.954	0.384	0.408	1.102	1.086	-0.242	-0.238	-0.099	-0.052	-1.478	-1.671	-1.661	-1.585	-1.862	-1.784	-0.8	-0.593	0.232	0.03
TREX1	1.062	0.988	-0.822	-1.072	0.621	0.604	-1.058	-1.149	0.915	0.965	-0.713	-0.852	0.772	0.936	-1.1	-1.019	1.555	1.681	-0.74	-0.785	1.695	1.659	0.305	0.04	0.259	-0.066	-0.296	-0.595	-0.353	-0.197	-1.855	-1.384
TRIM14	1.253	1.194	-0.529	-0.366	0.867	0.985	-0.69	-0.539	1.079	1.251	-0.886	-0.631	1.05	1.081	-0.907	-1.291	1.49	1.507	-0.349	-0.277	1.237	1.262	-0.951	-0.819	-0.748	-0.959	-1.994	-1.508	-0.086	0.058	-0.381	-0.405
TRIM21	0.895	0.873	-0.48	-0.662	0.758	0.819	-0.524	-0.679	1.37	1.307	-0.474	-0.461	1.177	1.253	-1.486	-1.4	1.327	1.406	-0.365	-0.409	1.303	1.297	-1.346	-1.218	-0.722	-0.779	-1.13	-1.321	0.606	0.554	-0.744	-0.742
TRIM22	0.922	0.911	-0.195	-0.163	0.698	0.687	-0.239	-0.317	1.026	1.038	-0.182	-0.228	0.978	0.966	-0.578	-0.576	1.091	1.096	-0.02	0.019	0.857	0.864	-0.46	-0.5	-0.038	-0.04	-0.17	-0.18	-0.488	-0.545	-3.186	-3.046
TRIM25	1.281	1.27	-0.816	-0.826	0.763	0.791	-0.986	-1.016	1.366	1.391	-0.702	-0.552	1.3	1.267	-0.891	-0.748	1.4	1.344	-0.734	-0.846	1.261	1.278	-1.034	-1.189	-0.463	-0.336	-0.795	-0.878	0.186	0.116	-1.161	-1.041
TRIM26	0.848	0.742	-1.112	-0.452	0.463	0.513	-0.959	-0.655	1.374	1.385	-0.424	-0.625	1.041	1.142	-1.059	-1.107	1.631	1.534	-0.579	-0.479	1.632	1.727	-0.263	-0.533	-0.261	-0.099	-0.663	-1.062	-0.254	-0.297	-1.661	-1.489
TRIM38	1.039	1.016	-0.145	-0.099	0.869	1.029	-0.309	-0.662	1.275	1.184	0.149	0.195	0.869	0.772	-0.594	-0.422	1.632	1.651	0.235	0.101	0.665	0.719	-0.828	-1.036	-0.722	-0.84	-0.96	-0.988	-0.693	-0.533	-2.129	-2.439
TRIM5	1.056	1.021	-0.293	-0.313	0.791	0.781	-0.788	-0.763	1.326	1.324	-0.312	-0.265	1.157	1.149	-0.856	-0.884	1.287	1.232	-0.541	-0.534	1.229	1.28	-0.585	-0.592	-0.124	-0.112	-0.331	-0.327	-0.75	-0.68	-2.25	-2.333
TRIM56	0.969	0.942	-0.156	-0.102	0.468	0.517	-0.397	-0.526	1.032	1.148	-0.084	0.016	0.982	0.935	-0.032	-0.2	0.953	0.995	-0.226	-0.02	0.92	0.992	-0.543	-0.349	0.116	0.152	-0.145	-0.356	-0.952	-1.009	-3.467	-2.574
TRIM69	1.064	1.017	-0.612	-0.589	0.96	0.931	-0.268	-0.052	1.62	1.68	-0.963	-0.62	1.208	1.204	-0.401	-0.43	0.944	0.944	-0.849	-0.784	1.032	0.944	-1.262	-1.339	-1.081	-0.955	-1.233	-1.103	0.596	0.813	-1.323	-1.092
TRIP12	1.067	1.126	-0.465	-0.841	-0.162	-0.404	-1.185	-1.275	2.043	1.799	0.636	0.359	0.884	0.933	0.686	0.555	0.986	1.006	-0.637	-0.864	0.715	0.779	-0.57	-0.538	-0.188	-0.174	0.048	0.007	-1.322	-1.572	-1.598	-1.834
TSPAN1	0.941	0.305	1.987	1.486	-1.979	-1.56	1.016	0.651	-1.309	-0.008	0.981	1.007	0.48	0.429	0.629	-1.71	-0.621	-0.124	0.846	-0.176	-0.086	-0.303	-0.724	-1.239	-1.394	-0.611	-0.04	0.427	0.609	-1.484	0.672	0.901
TTC38	0.659	0.73	-0.366	-0.381	-0.205	-0.204	-1.11	-0.816	1.195	1.28	-0.029	0.09	0.975	1.032	-0.532	-0.547	1.249	1.319	-1.077	-0.676	1.543	1.509	-0.108	0.115	0.4	0.371	0.275	0.435	-1.865	-1.402	-2.068	-1.793
TTC39B	1.385	1.255	-0.229	-0.351	1.313	1.357	0.582	0.819	1.529	1.252	0.157	-0.584	0.904	0.606	-1.228	-0.847	1.391	1.04	0.101	0.538	-0.575	0.011	-1.356	-1.65	-1.422	-1.378	-1.118	-0.9	-0.66	-1.002	-0.434	-0.507
TULP2	-0.254	-1.106	1.852	-0.036	-0.172	-1.106	2.363	1.493	0.217	-1.106	-1.106	0.414	0.434	1.341	-1.106	-1.106	-1.106	-1.106	-0.037	-1.106	0.584	-1.106	-0.378	0.421	-0.324	1.213	0.698	0.676	-0.138	-1.106	1.213	0.581
TXNIP	0.377	0.404	-0.524	-0.438	-0.21	-0.212	-0.862	-0.877	0.867	0.897	0.048	0.104	1.244	1.197	-0.46	-0.419	1.575	1.638	-0.103	-0.117	1.681	1.686	0.705	0.781	-0.594	-0.628	-0.608	-0.653	-1.951	-2.082	-1.26	-1.206
TYMP	1.38	1.201	-0.526	-0.524	0.26	0.868	-0.249	-0.322	1.494	0.799	-0.094	-0.203	0.9	0.479	-0.926	-1.244	2.045	2.111	-0.109	-1.008	0.94	0.498	-0.122	-0.925	-0.394	-0.17	-0.695	-0.872	-1.102	-0.831	-0.274	-2.382
UBA6	1.429	0.896	-0.156	-0.57	0.868	0.585	-0.197	-0.684	1.572	1.367	-0.991	-1.356	0.782	0.724	-0.942	-1.077	2.129	2.002	-0.402	-0.582	0.798	0.56	-0.832	-0.615	0.02	-0.271	-0.418	-0.037	-1.073	-1.458	-0.779	-1.29
UBA7	1.445	1.404	0.068	-0.195	0.781	0.921	-0.888	-0.757	1.19	1.259	-0.415	-0.441	1.186	1.199	-0.999	-0.909	1.485	1.48	0.011	0.139	0.916	0.929	-1.19	-1.048	-0.448	-0.523	-1.021	-0.821	-0.902	-0.78	-1.365	-1.712
UBE2L6	1.085	1.102	-0.884	-0.727	0.632	0.668	-0.87	-0.841	1.378	1.394	-0.965	-1.129	1.164	1.228	-1.312	-1.119	1.668	1.811	-0.655	-0.483	1.276	1.282	-0.756	-0.608	-0.167	-0.295	-0.358	-0.461	-0.461	-0.464	-1.127	-1.005
UHRF1BP1	1.377	1.009	-1.305	-1.565	0.497	0.641	-0.891	-1.028	1.429	1.491	-1.096	-0.751	0.898	0.771	-0.607	-0.565	1.211	1.192	-1.269	-1.445	1.648	1.648	0.204	0.012	-0.865	-0.764	0.123	-0.177	-0.415	-0.438	-0.353	-0.62
UNC93B1	1.018	1.075	-0.307	-0.768	0.72	0.847	-0.294	-0.404	1.239	1.179	-0.286	-0.543	1.016	0.94	-0.405	-0.698	1.475	1.446	-0.351	-0.632	1.131	1.074	-0.544	-0.411	-0.226	-0.082	-0.505	-0.445	-0.394	-0.818	-2.602	-2.445
USF1	0.174	0.16	-1.362	-1.592	-0.364	-0.104	-1.26	-1.297	1.501	1.359	-1.124	-0.801	1.606	1.566	-1.22	-1.138	1.642	1.331	-0.73	-0.39	1.518	1.419	-0.092	-0.03	0.29	0.435	-0.163	0.061	-0.228	-0.41	-0.245	-0.512
USP18	1.093	1.051	-0.569	-0.546	0.909	0.871	-0.85	-0.969	1.394	1.313	-0.278	-0.312	1.193	1.186	-0.669	-0.854	1.229	1.274	-0.559	-0.593	1.184	1.203	-1.043	-1.166	-0.038	-0.095	-0.908	-1.018	0.087	0.071	-2.322	-1.27
USP25	1.546	1.203	0.413	-0.094	0.608	0.692	0.021	-0.183	1.303	1.203	-0.351	-0.674	1.017	0.842	-1.449	-1.5	1.757	1.619	0.408	0.386	0.322	0.223	-1.161	-0.975	-1.511	-1.241	-1.464	-1.207	0.101	-0.231	-0.758	-0.867
USP41	1.031	-0.672	-1.306	0.109	1.199	-1.306	-1.306	-0.576	2.071	0.702	0.707	-0.4	1.538	1.074	-1.306	-0.306	0.961	0.782	-1.306	-0.089	1.63	1.545	-0.872	-1.306	-0.167	-0.179	-0.231	-1.306	-0.398	0.047	-0.067	-0.301
UVRAG	1.921	2.136	0.606	0.089	0.361	0.299	-0.949	-0.585	0.641	0.752	-1.196	-1.127	1.329	0.982	-1.065	-0.949	1.443	1.188	-1.84	-1.275	0.148	0.25	-1.015	-1.251	-0.171	-0.176	-1.005	-0.708	0.089	0.769	0.339	-0.03
UXS1	-0.188	-0.115	-1.432	-2.031	-0.37	-0.23	-1.305	-1.364	2.021	1.617	-0.086	-0.345	0.471	-0.073	1.409	0.687	1.414	1.443	0.144	0.675	1.125	1.108	-0.324	0.36	-0.451	-0.914	-0.035	0.309	-0.158	-1.364	-0.676	-1.322
VAMP5	1.172	1.092	-0.694	-0.786	0.908	-0.282	0.373	0.207	0.862	0.82	-0.505	-0.361	0.496	0.465	-0.863	0.078	1.933	1.988	0.14	-0.009	1.379	1.457	-0.368	-0.912	-1.32	-2.004	-0.648	-1.032	-0.275	-0.609	-1.029	-1.672
VSIG10L	0.415	1.039	-0.487	0.146	0.979	0.936	-0.45	-0.43	1.067	1.007	-1.919	-1.59	0.182	0.536	-1.446	-1.466	1.768	1.449	0.105	-1.066	1.555	1.287	-1.216	-0.481	-0.142	-0.469	-1.161	-1.095	-0.05	0.511	0.348	0.137
WARS	1.096	1.105	-0.656	-0.624	0.994	1.008	-0.849	-0.889	1.436	1.45	-0.33	-0.278	1.134	1.119	-1.015	-1.012	1.779	1.774	-0.272	-0.275	0.904	0.898	-0.829	-0.795	-0.75	-0.793	-0.829	-0.845	-0.442	-0.41	-1.37	-1.435
WDFY1	1.123	1.328	-0.664	-0.472	0.616	0.439	-0.69	-0.554	1.508	1.516	-0.293	-0.159	0.897	0.972	-1.776	-1.718	1.637	1.613	-0.774	-0.744	1.002	1.087	-0.187	-0.435	-0.274	-0.438	-0.198	-0.252	-0.498	-0.576	-1.45	-1.586
WDR25	1.105	1.235	-1.05	-0.031	1.128	1.101	-1.187	-0.295	1.298	1.089	-0.279	0.495	1.463	0.739	-1.927	-1.502	1.148	1.565	-1.321	-0.11	1.003	0.72	-0.727	-0.275	-1.286	-1.089	-0.44	-0.433	-0.488	-0.138	-0.59	-0.92
XAF1	1.074	1.142	-0.771	-1.073	1.07	1.094	-0.264	-0.399	1.192	1.163	-0.907	-0.646	1.067	1.086	-0.833	-0.874	1.446	1.428	0.072	0.129	1.031	1.002	-0.93	-1.069	-0.281	-0.102	-1.018	-1.13	-0.057	0.047	-1.844	-1.844
XRN1	1.466	1.401	-0.602	-0.821	0.646	0.495	-0.684	-0.954	1.533	1.482	-0.518	-0.498	1.126	1.133	-0.491	-0.502	1.882	1.849	-0.905	-0.697	0.923	0.861	-0.885	-0.93	-1.025	-0.883	-0.97	-0.89	-0.571	-0.583	-0.666	-0.724
YEATS2	1.106	0.968	-1.014	-0.958	-0.319	0.183	-1.677	-2.119	0.688	0.759	-0.986	-1.381	1.118	1.209	0.364	0.238	1.13	1.177	-1.996	-1.716	1.142	1.422	-0.023	-0.141	-0.299	-0.003	-0.007	-0.173	0.348	0.088	0.258	0.613
ZBP1	0.688	0.388	-1.091	-1.091	0.644	1.205	-1.091	-1.091	1.927	2.053	-0.194	0.004	0.978	1.343	-1.091	-1.091	0.521	0.964	0.394	0.088	1.734	0.489	-1.091	-1.091	-0.527	-0.536	-1.091	-1.091	0.506	-0.212	-0.456	-1.091
ZC3HAV1	1.25	1.245	-0.751	-0.756	0.842	0.853	-0.88	-0.93	1.278	1.277	-0.305	-0.319	1.372	1.351	-0.934	-0.937	1.121	1.124	-0.576	-0.648	1.234	1.236	-1.043	-1.022	-0.165	-0.181	-0.979	-1.042	0.225	0.246	-1.552	-1.637
ZCCHC2	1.387	1.609	-0.074	-0.564	0.192	0.497	-0.727	-0.689	1.044	0.943	-1.357	-1.131	1.538	1.303	0.853	0.569	0.115	0.053	-1.957	-1.869	1.002	0.98	-0.742	-0.602	-0.903	-1.017	-0.973	-1.092	0.596	1.007	0.214	-0.204
ZFP36L2	0.695	0.727	0.101	0.113	0.573	0.474	-0.359	-0.613	0.906	0.933	0.344	0.444	0.437	0.63	0.841	0.798	0.628	0.629	-0.007	-0.019	0.468	0.566	0.22	0.106	0.119	0.141	-0.153	0.076	-2.022	-2.291	-2.88	-2.624
ZFPM2	1.044	1.135	-0.272	-0.134	0.152	0.343	-0.288	-0.582	1.003	0.997	0.104	0.223	0.926	0.807	0.543	0.498	0.474	0.521	-0.062	0.04	0.328	0.373	-0.131	-0.076	0.617	0.582	0.076	0.303	-2.027	-2.177	-2.379	-2.96
ZFYVE26	1.227	1.165	-1.339	-1.007	0.389	0.429	-1.221	-0.968	1.408	1.303	-0.474	-0.464	0.661	0.866	-0.344	-0.117	2.205	1.972	-1.194	-1.163	1.264	1.128	-0.425	-0.354	-0.255	-0.451	-0.565	-0.513	-0.588	-0.943	-0.773	-0.858
ZMYND15	1.116	1.218	0.134	0.015	0.574	0.721	-0.573	-1.102	1.238	1.256	0.411	0.019	1.122	0.95	-1.659	-0.766	1.56	1.56	-0.089	-0.1	0.806	0.984	-0.641	-1.121	-1.303	-0.457	-0.963	-1.128	-0.539	0.076	-1.659	-1.659
ZNF107	1.015	1.23	-1.274	-1.802	0.44	0.749	-0.98	-1.081	1.548	1.335	-1.244	-1.188	1.048	0.518	-0.778	-0.445	0.491	0.605	-1.487	-1.263	1.774	1.528	-0.869	-0.727	0.314	0.265	-0.394	-0.198	0.636	0.542	0.081	-0.387
ZNF618	1.542	1.579	-0.843	-0.799	-0.173	-0.004	-1.156	-1.008	0.111	0.321	-1.428	-1.297	0.48	0.611	1.856	1.912	0.292	0.342	-1.438	-1.494	1.464	1.688	-0.042	-0.203	0.218	-0.08	-0.115	-0.008	-0.775	-1.26	-0.049	-0.245
ZNF710	1.303	0.59	-0.492	-1.674	0.4	1.062	-1.369	-1.767	-0.406	-0.191	-1.581	-2.435	0.571	-0.183	0.545	1.177	-0.187	-0.012	-0.667	0.162	0.486	0.619	0.686	0.188	-0.916	-0.28	-0.124	-0.44	0.367	1.783	1.322	1.463
ZNF850	-1.286	-0.791	-0.078	0.453	-1.037	-0.62	0.085	-0.347	-0.756	-0.992	0.895	1.083	-0.697	-0.848	0.127	0.81	-2.135	-1.196	-0.325	-0.997	0.584	0.385	0.674	1.116	1.792	1.781	1.905	1.63	-0.374	-0.578	-0.31	0.046
ZNFX1	1.274	1.24	-0.669	-0.692	0.803	0.781	-0.962	-0.984	1.359	1.415	-0.644	-0.661	1.224	1.246	-0.914	-0.908	1.532	1.553	-0.617	-0.571	1.24	1.255	-1.04	-1.006	-0.171	-0.179	-0.899	-0.922	-0.385	-0.397	-1.182	-1.121
